101,Audi,A4,2004,160000,PETROL,163,BLACK,SEDAN,5,MANUAL
102,Audi,A4,2006,317000,DIESEL,140,RED,WAGON,5,SEMIAUTO
103,Audi,R8,2014,113000,PETROL,435,SILVER,COUPE,5,AUTOMATIC
104,BMW,E90,2008,270000,DIESEL,210,WHITE,SEDAN,5,MANUAL
105,BMW,X3,2010,193000,DIESEL,140,WHITE,SUV,5,AUTOMATIC
106,Opel,Astra,2003,205000,PETROLANDGAS,125,RED,HATCHBACK,5,MANUAL
107,Opel,Meriva,2004,240000,PETROL,101,BLACK,MINIVAN,5,SEMIAUTO
108,Opel,Vectra,1998,320000,PETROL,85,BEIGE,SEDAN,5,MANUAL
109,Toyota,C-HR,2017,18000,HYBRID,136,WHITE,CROSSOVER,5,AUTOMATIC
110,Porsche,Cayenne,2013,139000,DIESEL,385,WHITE,SUV,5,SEMIAUTO
